,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WMargin,WSeasonElo,LSeasonElo,SeasonEloDiff,PredMargin,lineavg,date
64,2017,136,1438,76,1423,71,5,2199.490565,1838.1067480000002,361.3838169999999,10,9.0,2017-03-16
66,2017,136,1438,76,1423,71,-5,2199.490565,1838.1067480000002,-361.3838169999999,-10,9.0,2017-03-16
68,2017,136,1452,86,1137,80,6,2084.2694239999996,1565.298399,518.9710249999996,15,13.0,2017-03-16
70,2017,136,1452,86,1137,80,-6,2084.2694239999996,1565.298399,-518.9710249999996,-15,13.0,2017-03-16
72,2017,136,1458,84,1439,74,10,1894.368443,1893.3247920000001,1.0436509999999544,0,5.5,2017-03-16
74,2017,136,1458,84,1439,74,-10,1894.368443,1893.3247920000001,-1.0436509999999544,0,5.5,2017-03-16
76,2017,136,1462,76,1268,65,11,2061.06369,1864.725762,196.33792799999992,5,0.0,2017-03-16
78,2017,136,1462,76,1268,65,-11,2061.06369,1864.725762,-196.33792799999992,-5,0.0,2017-03-16
80,2017,137,1116,77,1371,71,6,1749.098801,1927.873145,-178.77434399999993,-5,1.0,2017-03-17
82,2017,137,1116,77,1371,71,-6,1749.098801,1927.873145,178.77434399999993,5,1.0,2017-03-17
84,2017,137,1124,91,1308,73,18,2085.014564,1667.155338,417.85922600000004,12,11.5,2017-03-17
86,2017,137,1124,91,1308,73,-18,2085.014564,1667.155338,-417.85922600000004,-12,11.5,2017-03-17
88,2017,137,1153,75,1243,61,14,1881.0736969999998,1817.590048,63.48364899999979,1,4.0,2017-03-17
90,2017,137,1153,75,1243,61,-14,1881.0736969999998,1817.590048,-63.48364899999979,-1,4.0,2017-03-17
92,2017,137,1181,87,1407,65,22,2011.3186870000002,1241.457607,769.8610800000001,23,17.5,2017-03-17
94,2017,137,1181,87,1407,65,-22,2011.3186870000002,1241.457607,-769.8610800000001,-23,17.5,2017-03-17
96,2017,137,1242,100,1413,62,38,2199.981075,1386.152741,813.828334,24,22.5,2017-03-17
98,2017,137,1242,100,1413,62,-38,2199.981075,1386.152741,-813.828334,-24,22.5,2017-03-17
100,2017,137,1246,79,1297,70,9,2111.435027,1525.973774,585.4612529999999,17,19.5,2017-03-17
102,2017,137,1246,79,1297,70,-9,2111.435027,1525.973774,-585.4612529999999,-17,19.5,2017-03-17
104,2017,137,1257,78,1240,63,15,2046.481938,1352.2833130000001,694.1986249999998,20,20.0,2017-03-17
106,2017,137,1257,78,1240,63,-15,2046.481938,1352.2833130000001,-694.1986249999998,-20,20.0,2017-03-17
108,2017,137,1276,92,1329,91,1,1875.412738,1729.835609,145.577129,4,1.0,2017-03-17
110,2017,137,1276,92,1329,91,-1,1875.412738,1729.835609,-145.577129,-4,1.0,2017-03-17
112,2017,137,1277,78,1274,58,20,2013.872216,1902.729976,111.1422399999999,3,1.5,2017-03-17
114,2017,137,1277,78,1274,58,-20,2013.872216,1902.729976,-111.1422399999999,-3,1.5,2017-03-17
116,2017,137,1314,103,1411,64,39,2163.414847,1484.939293,678.4755540000001,20,23.5,2017-03-17
118,2017,137,1314,103,1411,64,-39,2163.414847,1484.939293,-678.4755540000001,-20,23.5,2017-03-17
120,2017,137,1332,93,1233,77,16,2033.813098,1603.042777,430.7703210000002,12,15.0,2017-03-17
122,2017,137,1332,93,1233,77,-16,2033.813098,1603.042777,-430.7703210000002,-12,15.0,2017-03-17
124,2017,137,1348,84,1166,72,12,1721.7014510000001,1940.605148,-218.90369699999997,-6,3.0,2017-03-17
126,2017,137,1348,84,1166,72,-12,1721.7014510000001,1940.605148,218.90369699999997,6,3.0,2017-03-17
128,2017,137,1376,93,1266,73,20,1913.537304,1786.332859,127.20444499999985,3,-1.0,2017-03-17
130,2017,137,1376,93,1266,73,-20,1913.537304,1786.332859,-127.20444499999985,-3,-1.0,2017-03-17
132,2017,137,1417,97,1245,80,17,1854.2031329999998,1480.035763,374.16736999999966,11,16.0,2017-03-17
134,2017,137,1417,97,1245,80,-17,1854.2031329999998,1480.035763,-374.16736999999966,-11,16.0,2017-03-17
136,2017,137,1425,66,1374,65,1,1895.976116,1846.443045,49.533071000000064,1,7.5,2017-03-17
138,2017,137,1425,66,1374,65,-1,1895.976116,1846.443045,-49.533071000000064,-1,7.5,2017-03-17
140,2017,137,1455,64,1173,58,6,1959.9959399999998,1830.335655,129.6602849999997,3,-6.0,2017-03-17
142,2017,137,1455,64,1173,58,-6,1959.9959399999998,1830.335655,-129.6602849999997,-3,-6.0,2017-03-17
144,2017,138,1112,69,1388,60,9,2021.0584059999999,1846.0245690000002,175.03383699999972,5,1.0,2017-03-18
146,2017,138,1112,69,1388,60,-9,2021.0584059999999,1846.0245690000002,-175.03383699999972,-5,1.0,2017-03-18
148,2017,138,1139,74,1292,65,9,1992.591772,1779.530801,213.06097099999988,6,4.5,2017-03-18
150,2017,138,1139,74,1292,65,-9,1992.591772,1779.530801,-213.06097099999988,-6,4.5,2017-03-18
152,2017,138,1196,65,1438,39,26,1914.3161910000001,2199.490565,-285.17437399999994,-8,1.5,2017-03-18
154,2017,138,1196,65,1438,39,-26,1914.3161910000001,2199.490565,285.17437399999994,8,1.5,2017-03-18
156,2017,138,1211,79,1321,73,6,2084.516697,1791.1684480000001,293.3482489999999,8,12.0,2017-03-18
158,2017,138,1211,79,1321,73,-6,2084.516697,1791.1684480000001,-293.3482489999999,-8,12.0,2017-03-18
160,2017,138,1345,80,1235,76,4,1991.0120140000001,1908.1724960000001,82.839518,2,1.5,2017-03-18
162,2017,138,1345,80,1235,76,-4,1991.0120140000001,1908.1724960000001,-82.839518,-2,1.5,2017-03-18
164,2017,138,1452,83,1323,71,12,2084.2694239999996,1925.835184,158.4342399999996,4,4.0,2017-03-18
166,2017,138,1452,83,1323,71,-12,2084.2694239999996,1925.835184,-158.4342399999996,-4,4.0,2017-03-18
168,2017,138,1458,65,1437,62,3,1894.368443,2181.639899,-287.2714559999997,-8,6.0,2017-03-18
170,2017,138,1458,65,1437,62,-3,1894.368443,2181.639899,287.2714559999997,8,6.0,2017-03-18
172,2017,138,1462,91,1199,66,25,2061.06369,1856.140575,204.92311500000005,6,5.0,2017-03-18
174,2017,138,1462,91,1199,66,-25,2061.06369,1856.140575,-204.92311500000005,-6,5.0,2017-03-18
176,2017,139,1124,82,1425,78,4,2085.014564,1895.976116,189.03844800000002,5,8.0,2017-03-19
178,2017,139,1124,82,1425,78,-4,2085.014564,1895.976116,-189.03844800000002,-5,8.0,2017-03-19
180,2017,139,1242,90,1277,70,20,2199.981075,2013.872216,186.10885900000017,5,8.0,2017-03-19
182,2017,139,1242,90,1277,70,-20,2199.981075,2013.872216,-186.10885900000017,-5,8.0,2017-03-19
184,2017,139,1246,65,1455,62,3,2111.435027,1959.9959399999998,151.4390870000002,4,2.5,2017-03-19
186,2017,139,1246,65,1455,62,-3,2111.435027,1959.9959399999998,-151.4390870000002,-4,2.5,2017-03-19
188,2017,139,1276,73,1257,69,4,1875.412738,2046.481938,-171.0691999999999,-5,3.5,2017-03-19
190,2017,139,1276,73,1257,69,-4,1875.412738,2046.481938,171.0691999999999,5,3.5,2017-03-19
192,2017,139,1314,72,1116,65,7,2163.414847,1749.098801,414.3160459999999,12,10.0,2017-03-19
194,2017,139,1314,72,1116,65,-7,2163.414847,1749.098801,-414.3160459999999,-12,10.0,2017-03-19
196,2017,139,1332,75,1348,72,3,2033.813098,1721.7014510000001,312.11164699999995,9,6.5,2017-03-19
198,2017,139,1332,75,1348,72,-3,2033.813098,1721.7014510000001,-312.11164699999995,-9,6.5,2017-03-19
200,2017,139,1376,88,1181,81,7,1913.537304,2011.3186870000002,-97.78138300000023,-2,7.0,2017-03-19
202,2017,139,1376,88,1181,81,-7,1913.537304,2011.3186870000002,97.78138300000023,2,7.0,2017-03-19
204,2017,139,1417,79,1153,67,12,1854.2031329999998,1881.0736969999998,-26.87056400000006,0,2.0,2017-03-19
206,2017,139,1417,79,1153,67,-12,1854.2031329999998,1881.0736969999998,26.87056400000006,0,2.0,2017-03-19
208,2017,143,1211,61,1452,58,3,2084.516697,2084.2694239999996,0.24727300000040486,0,4.0,2017-03-23
210,2017,143,1211,61,1452,58,-3,2084.516697,2084.2694239999996,-0.24727300000040486,0,4.0,2017-03-23
212,2017,143,1242,98,1345,66,32,2199.981075,1991.0120140000001,208.969061,6,2.5,2017-03-23
214,2017,143,1242,98,1345,66,-32,2199.981075,1991.0120140000001,-208.969061,-6,2.5,2017-03-23
216,2017,143,1332,69,1276,68,1,2033.813098,1875.412738,158.4003600000001,4,1.5,2017-03-23
218,2017,143,1332,69,1276,68,-1,2033.813098,1875.412738,-158.4003600000001,-4,1.5,2017-03-23
220,2017,143,1462,73,1112,71,2,2061.06369,2021.0584059999999,40.005284000000074,1,5.0,2017-03-23
222,2017,143,1462,73,1112,71,-2,2061.06369,2021.0584059999999,-40.005284000000074,-1,5.0,2017-03-23
224,2017,144,1196,84,1458,83,1,1914.3161910000001,1894.368443,19.947748000000047,0,3.0,2017-03-24
226,2017,144,1196,84,1458,83,-1,1914.3161910000001,1894.368443,-19.947748000000047,0,3.0,2017-03-24
228,2017,144,1246,86,1417,75,11,2111.435027,1854.2031329999998,257.23189400000024,7,1.5,2017-03-24
230,2017,144,1246,86,1417,75,-11,2111.435027,1854.2031329999998,-257.23189400000024,-7,1.5,2017-03-24
232,2017,144,1314,92,1139,80,12,2163.414847,1992.591772,170.82307500000002,5,6.0,2017-03-24
234,2017,144,1314,92,1139,80,-12,2163.414847,1992.591772,-170.82307500000002,-5,6.0,2017-03-24
236,2017,144,1376,70,1124,50,20,1913.537304,2085.014564,-171.47726000000011,-5,5.0,2017-03-24
238,2017,144,1376,70,1124,50,-20,1913.537304,2085.014564,171.47726000000011,5,5.0,2017-03-24
240,2017,145,1211,83,1462,59,24,2084.516697,2061.06369,23.45300700000007,0,10.0,2017-03-25
242,2017,145,1211,83,1462,59,-24,2084.516697,2061.06369,-23.45300700000007,0,10.0,2017-03-25
244,2017,145,1332,74,1242,60,14,2033.813098,2199.981075,-166.16797700000006,-5,3.0,2017-03-25
246,2017,145,1332,74,1242,60,-14,2033.813098,2199.981075,166.16797700000006,5,3.0,2017-03-25
248,2017,146,1314,75,1246,73,2,2163.414847,2111.435027,51.97982000000002,1,1.0,2017-03-26
250,2017,146,1314,75,1246,73,-2,2163.414847,2111.435027,-51.97982000000002,-1,1.0,2017-03-26
252,2017,146,1376,77,1196,70,7,1913.537304,1914.3161910000001,-0.778887000000168,0,7.0,2017-03-26
254,2017,146,1376,77,1196,70,-7,1913.537304,1914.3161910000001,0.778887000000168,0,7.0,2017-03-26
256,2017,152,1211,77,1376,73,4,2084.516697,1913.537304,170.97939300000007,5,9.5,2017-04-01
258,2017,152,1211,77,1376,73,-4,2084.516697,1913.537304,-170.97939300000007,-5,9.5,2017-04-01
260,2017,152,1314,77,1332,76,1,2163.414847,2033.813098,129.60174899999993,3,2.5,2017-04-01
262,2017,152,1314,77,1332,76,-1,2163.414847,2033.813098,-129.60174899999993,-3,2.5,2017-04-01
264,2017,154,1314,71,1211,65,6,2163.414847,2084.516697,78.89814999999999,2,2.5,2017-04-03
266,2017,154,1314,71,1211,65,-6,2163.414847,2084.516697,-78.89814999999999,-2,2.5,2017-04-03
268,2018,134,1347,71,1254,61,10,1528.416407,1387.577895,140.83851200000004,4,5.0,2018-03-13
270,2018,134,1347,71,1254,61,-10,1528.416407,1387.577895,-140.83851200000004,-4,5.0,2018-03-13
272,2018,134,1382,65,1417,58,7,1828.9436239999998,1914.051766,-85.10814200000027,-2,3.0,2018-03-13
274,2018,134,1382,65,1417,58,-7,1828.9436239999998,1914.051766,85.10814200000027,2,3.0,2018-03-13
276,2018,135,1411,64,1300,46,18,1349.73899,1261.980266,87.75872400000003,2,3.0,2018-03-14
278,2018,135,1411,64,1300,46,-18,1349.73899,1261.980266,-87.75872400000003,-2,3.0,2018-03-14
280,2018,135,1393,60,1113,56,4,1804.6241420000001,1707.0791219999999,97.54502000000025,2,1.0,2018-03-14
282,2018,135,1393,60,1113,56,-4,1804.6241420000001,1707.0791219999999,-97.54502000000025,-2,1.0,2018-03-14
284,2018,136,1348,83,1328,78,5,1768.48505,1785.5537190000002,-17.068669000000227,0,0.0,2018-03-15
286,2018,136,1348,83,1328,78,-5,1768.48505,1785.5537190000002,17.068669000000227,0,0.0,2018-03-15
288,2018,136,1260,64,1274,62,2,1890.909689,1901.710759,-10.801069999999982,0,1.5,2018-03-15
290,2018,136,1260,64,1274,62,-2,1890.909689,1901.710759,10.801069999999982,0,1.5,2018-03-15
292,2018,136,1246,78,1172,73,5,2065.518294,1874.4562649999998,191.06202900000017,5,5.5,2018-03-15
294,2018,136,1246,78,1172,73,-5,2065.518294,1874.4562649999998,-191.06202900000017,-5,5.5,2018-03-15
296,2018,136,1276,61,1285,47,14,2153.6458239999997,1724.822028,428.8237959999997,12,11.5,2018-03-15
298,2018,136,1276,61,1285,47,-14,2153.6458239999997,1724.822028,-428.8237959999997,-12,11.5,2018-03-15
300,2018,136,1397,73,1460,43,30,2026.714702,1629.384457,397.3302449999999,11,13.0,2018-03-15
302,2018,136,1397,73,1460,43,-30,2026.714702,1629.384457,-397.3302449999999,-11,13.0,2018-03-15
304,2018,136,1326,81,1355,73,8,1906.257155,1843.0369059999998,63.220249000000194,1,6.5,2018-03-15
306,2018,136,1326,81,1355,73,-8,1906.257155,1843.0369059999998,-63.220249000000194,-1,6.5,2018-03-15
308,2018,136,1403,70,1372,60,10,1973.857023,1662.745744,311.11127899999997,9,11.5,2018-03-15
310,2018,136,1403,70,1372,60,-10,1973.857023,1662.745744,-311.11127899999997,-9,11.5,2018-03-15
312,2018,136,1104,86,1439,83,3,1841.751243,1867.688541,-25.937298000000055,0,1.0,2018-03-15
314,2018,136,1104,86,1439,83,-3,1841.751243,1867.688541,25.937298000000055,0,1.0,2018-03-15
316,2018,136,1211,68,1422,64,4,2142.204268,1788.932036,353.27223200000003,10,11.0,2018-03-15
318,2018,136,1211,68,1422,64,-4,2142.204268,1788.932036,-353.27223200000003,-10,11.0,2018-03-15
320,2018,136,1371,94,1301,83,11,1929.9625829999998,1848.5293980000001,81.43318499999964,2,2.0,2018-03-15
322,2018,136,1371,94,1301,83,-11,1929.9625829999998,1848.5293980000001,-81.43318499999964,-2,2.0,2018-03-15
324,2018,136,1181,89,1233,67,22,2082.803818,1595.413953,487.3898649999999,14,18.5,2018-03-15
326,2018,136,1181,89,1233,67,-22,2082.803818,1595.413953,-487.3898649999999,-14,18.5,2018-03-15
328,2018,136,1437,87,1347,61,26,2188.106007,1528.416407,659.6895999999999,19,22.5,2018-03-15
330,2018,136,1437,87,1347,61,-26,2188.106007,1528.416407,-659.6895999999999,-19,22.5,2018-03-15
332,2018,136,1138,89,1112,68,21,1821.9423739999997,2056.297707,-234.35533300000043,-7,7.5,2018-03-15
334,2018,136,1138,89,1112,68,-21,1821.9423739999997,2056.297707,234.35533300000043,7,7.5,2018-03-15
336,2018,136,1242,76,1335,60,16,2084.816709,1746.598307,338.2184020000002,10,14.0,2018-03-15
338,2018,136,1242,76,1335,60,-16,2084.816709,1746.598307,-338.2184020000002,-10,14.0,2018-03-15
340,2018,136,1222,67,1361,65,2,1996.116835,1901.8468079999998,94.27002700000025,2,4.0,2018-03-15
342,2018,136,1222,67,1361,65,-2,1996.116835,1901.8468079999998,-94.27002700000025,-2,4.0,2018-03-15
344,2018,136,1196,77,1382,62,15,1931.846368,1828.9436239999998,102.90274400000021,3,4.5,2018-03-15
346,2018,136,1196,77,1382,62,-15,1931.846368,1828.9436239999998,-102.90274400000021,-3,4.5,2018-03-15
348,2018,137,1345,74,1168,48,26,2063.3209690000003,1572.927661,490.3933080000004,14,19.5,2018-03-16
350,2018,137,1345,74,1168,48,-26,2063.3209690000003,1572.927661,-490.3933080000004,-14,19.5,2018-03-16
352,2018,137,1139,79,1116,62,17,1896.472024,1883.466805,13.005218999999897,0,-0.5,2018-03-16
354,2018,137,1139,79,1116,62,-17,1896.472024,1883.466805,-13.005218999999897,0,-0.5,2018-03-16
356,2018,137,1277,82,1137,78,4,2048.78952,1730.4887210000002,318.30079899999964,9,13.0,2018-03-16
358,2018,137,1277,82,1137,78,-4,2048.78952,1730.4887210000002,-318.30079899999964,-9,13.0,2018-03-16
360,2018,137,1393,57,1395,52,5,1804.6241420000001,1925.1158850000002,-120.49174300000004,-3,3.5,2018-03-16
362,2018,137,1393,57,1395,52,-5,1804.6241420000001,1925.1158850000002,120.49174300000004,3,3.5,2018-03-16
364,2018,137,1401,73,1344,69,4,1829.455906,1846.201752,-16.74584600000003,0,2.0,2018-03-16
366,2018,137,1401,73,1344,69,-4,1829.455906,1846.201752,16.74584600000003,0,2.0,2018-03-16
368,2018,137,1305,87,1400,83,4,1856.44015,1887.2663489999998,-30.82619899999986,0,-0.5,2018-03-16
370,2018,137,1305,87,1400,83,-4,1856.44015,1887.2663489999998,30.82619899999986,0,-0.5,2018-03-16
372,2018,137,1420,74,1438,54,20,1587.5976449999998,2244.277735,-656.6800900000003,-19,22.0,2018-03-16
374,2018,137,1420,74,1438,54,-20,1587.5976449999998,2244.277735,656.6800900000003,19,22.0,2018-03-16
376,2018,137,1267,81,1455,75,6,1708.980375,2011.818977,-302.8386019999998,-9,10.5,2018-03-16
378,2018,137,1267,81,1455,75,-6,1708.980375,2011.818977,302.8386019999998,9,10.5,2018-03-16
380,2018,137,1452,85,1293,68,17,2000.901961,1775.1716399999998,225.73032100000023,6,9.0,2018-03-16
382,2018,137,1452,85,1293,68,-17,2000.901961,1775.1716399999998,-225.73032100000023,-6,9.0,2018-03-16
384,2018,137,1462,102,1411,83,19,2047.9206,1349.73899,698.1816099999999,21,22.0,2018-03-16
386,2018,137,1462,102,1411,83,-19,2047.9206,1349.73899,-698.1816099999999,-21,22.0,2018-03-16
388,2018,137,1153,68,1209,52,16,2103.432764,1654.856209,448.5765550000001,13,14.0,2018-03-16
390,2018,137,1153,68,1209,52,-16,2103.432764,1654.856209,-448.5765550000001,-13,14.0,2018-03-16
392,2018,137,1243,68,1166,59,9,1883.6757879999998,1886.331013,-2.6552250000002005,0,1.0,2018-03-16
394,2018,137,1243,68,1166,59,-9,1883.6757879999998,1886.331013,2.6552250000002005,0,1.0,2018-03-16
396,2018,137,1314,84,1252,66,18,2073.475159,1595.3959730000001,478.07918599999994,14,18.5,2018-03-16
398,2018,137,1314,84,1252,66,-18,2073.475159,1595.3959730000001,-478.07918599999994,-14,18.5,2018-03-16
400,2018,137,1120,62,1158,58,4,1863.348538,1770.1927030000002,93.1558349999998,2,9.5,2018-03-16
402,2018,137,1120,62,1158,58,-4,1863.348538,1770.1927030000002,-93.1558349999998,-2,9.5,2018-03-16
404,2018,137,1155,79,1308,68,11,1917.218953,1775.3919649999998,141.82698800000026,4,5.0,2018-03-16
406,2018,137,1155,79,1308,68,-11,1917.218953,1775.3919649999998,-141.82698800000026,-4,5.0,2018-03-16
408,2018,137,1199,67,1281,54,13,1844.356725,1843.791187,0.5655380000000605,0,-0.5,2018-03-16
410,2018,137,1199,67,1281,54,-13,1844.356725,1843.791187,-0.5655380000000605,0,-0.5,2018-03-16
412,2018,138,1437,81,1104,58,23,2188.106007,1841.751243,346.35476399999993,10,12.0,2018-03-17
414,2018,138,1437,81,1104,58,-23,2188.106007,1841.751243,-346.35476399999993,-10,12.0,2018-03-17
416,2018,138,1181,87,1348,62,25,2082.803818,1768.48505,314.31876799999986,9,10.0,2018-03-17
418,2018,138,1181,87,1348,62,-25,2082.803818,1768.48505,-314.31876799999986,-9,10.0,2018-03-17
420,2018,138,1246,95,1138,75,20,2065.518294,1821.9423739999997,243.57592000000022,7,7.0,2018-03-17
422,2018,138,1246,95,1138,75,-20,2065.518294,1821.9423739999997,-243.57592000000022,-7,7.0,2018-03-17
424,2018,138,1260,63,1397,62,1,1890.909689,2026.714702,-135.80501299999992,-4,6.5,2018-03-17
426,2018,138,1260,63,1397,62,-1,1890.909689,2026.714702,135.80501299999992,4,6.5,2018-03-17
428,2018,138,1211,90,1326,84,6,2142.204268,1906.257155,235.94711299999994,7,3.0,2018-03-17
430,2018,138,1211,90,1326,84,-6,2142.204268,1906.257155,-235.94711299999994,-7,3.0,2018-03-17
432,2018,138,1242,83,1371,79,4,2084.816709,1929.9625829999998,154.8541260000004,4,5.5,2018-03-17
434,2018,138,1242,83,1371,79,-4,2084.816709,1929.9625829999998,-154.8541260000004,-4,5.5,2018-03-17
436,2018,138,1276,64,1222,63,1,2153.6458239999997,1996.116835,157.52898899999968,4,3.0,2018-03-17
438,2018,138,1276,64,1222,63,-1,2153.6458239999997,1996.116835,-157.52898899999968,-4,3.0,2018-03-17
440,2018,138,1403,69,1196,66,3,1973.857023,1931.846368,42.01065500000004,1,2.0,2018-03-17
442,2018,138,1403,69,1196,66,-3,1973.857023,1931.846368,-42.01065500000004,-1,2.0,2018-03-17
444,2018,139,1345,76,1139,73,3,2063.3209690000003,1896.472024,166.8489450000004,5,6.0,2018-03-18
446,2018,139,1345,76,1139,73,-3,2063.3209690000003,1896.472024,-166.8489450000004,-5,6.0,2018-03-18
448,2018,139,1393,55,1277,53,2,1804.6241420000001,2048.78952,-244.1653779999997,-7,8.5,2018-03-18
450,2018,139,1393,55,1277,53,-2,1804.6241420000001,2048.78952,244.1653779999997,7,8.5,2018-03-18
452,2018,139,1401,86,1314,65,21,1829.455906,2073.475159,-244.01925300000016,-7,6.0,2018-03-18
454,2018,139,1401,86,1314,65,-21,1829.455906,2073.475159,244.01925300000016,7,6.0,2018-03-18
456,2018,139,1305,75,1153,73,2,1856.44015,2103.432764,-246.99261400000023,-7,7.5,2018-03-18
458,2018,139,1305,75,1153,73,-2,1856.44015,2103.432764,246.99261400000023,7,7.5,2018-03-18
460,2018,139,1155,84,1120,53,31,1917.218953,1863.348538,53.870415000000094,1,0.0,2018-03-18
462,2018,139,1155,84,1120,53,-31,1917.218953,1863.348538,-53.870415000000094,-1,0.0,2018-03-18
464,2018,139,1243,50,1420,43,7,1883.6757879999998,1587.5976449999998,296.07814299999995,8,9.5,2018-03-18
466,2018,139,1243,50,1420,43,-7,1883.6757879999998,1587.5976449999998,-296.07814299999995,-8,9.5,2018-03-18
468,2018,139,1199,75,1462,70,5,1844.356725,2047.9206,-203.56387499999983,-6,4.0,2018-03-18
470,2018,139,1199,75,1462,70,-5,1844.356725,2047.9206,203.56387499999983,6,4.0,2018-03-18
472,2018,139,1452,94,1267,71,23,2000.901961,1708.980375,291.92158599999993,8,12.0,2018-03-18
474,2018,139,1452,94,1267,71,-23,2000.901961,1708.980375,-291.92158599999993,-8,12.0,2018-03-18
476,2018,143,1276,99,1401,72,27,2153.6458239999997,1829.455906,324.1899179999998,9,4.0,2018-03-22
478,2018,143,1276,99,1401,72,-27,2153.6458239999997,1829.455906,-324.1899179999998,-9,4.0,2018-03-22
480,2018,143,1260,69,1305,68,1,1890.909689,1856.44015,34.46953900000017,1,2.0,2018-03-22
482,2018,143,1260,69,1305,68,-1,1890.909689,1856.44015,-34.46953900000017,-1,2.0,2018-03-22
484,2018,143,1199,75,1211,60,15,1844.356725,2142.204268,-297.84754299999986,-8,5.0,2018-03-22
486,2018,143,1199,75,1211,60,-15,1844.356725,2142.204268,297.84754299999986,8,5.0,2018-03-22
488,2018,143,1243,61,1246,58,3,1883.6757879999998,2065.518294,-181.84250600000018,-5,4.5,2018-03-22
490,2018,143,1243,61,1246,58,-3,1883.6757879999998,2065.518294,181.84250600000018,5,4.5,2018-03-22
492,2018,144,1242,80,1155,76,4,2084.816709,1917.218953,167.59775600000012,5,3.5,2018-03-23
494,2018,144,1242,80,1155,76,-4,2084.816709,1917.218953,-167.59775600000012,-5,3.5,2018-03-23
496,2018,144,1437,90,1452,78,12,2188.106007,2000.901961,187.20404599999983,5,5.0,2018-03-23
498,2018,144,1437,90,1452,78,-12,2188.106007,2000.901961,-187.20404599999983,-5,5.0,2018-03-23
500,2018,144,1181,69,1393,65,4,2082.803818,1804.6241420000001,278.17967599999974,8,10.0,2018-03-23
