,Season,SeasonElo,TeamID
45565,2012,1500.357863,1110
50978,2013,1428.850084,1110
56415,2014,1291.421561,1110
61636,2015,1615.687254,1110
67087,2016,1397.325856,1110
72526,2017,1206.832227,1110
81569,2018,1121.197323,1110
1715,2003,1533.403822,1111
5146,2004,1448.260467,1111
11233,2005,1297.568748,1111
14867,2006,1425.107832,1111
20010,2007,1552.91722,1111
24576,2008,1605.70459,1111
30108,2009,1476.921092,1111
35087,2010,1362.302496,1111
41073,2011,1612.983564,1111
46140,2012,1342.957977,1111
52151,2013,1316.594352,1111
56518,2014,1275.436284,1111
61958,2015,1174.861946,1111
67070,2016,1259.824782,1111
72453,2017,1291.36122,1111
82006,2018,1421.664432,1111
1409,2003,1678.243137,1112
5779,2004,1926.533726,1112
10813,2005,1875.664974,1112
14818,2006,1883.040083,1112
19723,2007,1898.108882,1112
25115,2008,1898.354776,1112
30037,2009,1824.129255,1112
35261,2010,1728.997399,1112
40570,2011,1810.869615,1112
45833,2012,1900.374569,1112
51391,2013,1964.071819,1112
56297,2014,1970.337526,1112
61606,2015,2125.540056,1112
67147,2016,2213.688659,1112
72375,2017,2021.058406,1112
82012,2018,2056.297707,1112
1097,2003,1566.094619,1113
6446,2004,1542.747939,1113
10196,2005,1627.742938,1113
14907,2006,1547.281413,1113
20094,2007,1468.042605,1113
24775,2008,1605.613835,1113
29981,2009,1886.520928,1113
34955,2010,1968.723652,1113
41848,2011,1640.585226,1113
45851,2012,1503.818209,1113
51090,2013,1566.978271,1113
56101,2014,1729.361742,1113
61504,2015,1767.561373,1113
67233,2016,1778.503547,1113
72339,2017,1663.543542,1113
81886,2018,1707.079122,1113
977,2003,1562.439951,1114
5588,2004,1496.812139,1114
10003,2005,1631.897007,1114
14947,2006,1556.680616,1114
19525,2007,1370.746493,1114
25039,2008,1488.721932,1114
30635,2009,1457.541403,1114
35037,2010,1488.03766,1114
40836,2011,1375.311162,1114
45761,2012,1369.616837,1114
50784,2013,1496.065326,1114
56588,2014,1380.871949,1114
62214,2015,1382.087888,1114
67538,2016,1681.016163,1114
72603,2017,1712.408633,1114
81882,2018,1295.068435,1114
1020,2003,1274.224216,1115
5590,2004,1114.30451,1115
11459,2005,918.1299049,1115
15346,2006,1104.441362,1115
20139,2007,1239.792796,1115
24992,2008,1348.20659,1115
30207,2009,1160.383135,1115
35482,2010,1188.509161,1115
40770,2011,1287.411469,1115
46102,2012,1019.870529,1115
51032,2013,1104.606423,1115
56591,2014,1210.841762,1115
61457,2015,1122.512612,1115
67055,2016,1168.075989,1115
72603,2017,967.3394881,1115
82031,2018,1162.280799,1115
1098,2003,1521.670192,1116
5589,2004,1523.048117,1116
10004,2005,1757.689214,1116
14529,2006,1632.464181,1116
20514,2007,1785.556943,1116
24728,2008,1894.599294,1116
30038,2009,1818.854902,1116
35133,2010,1425.603287,1116
41973,2011,1672.114604,1116
45959,2012,1614.518234,1116
51263,2013,1535.569824,1116
56413,2014,1799.84077,1116
61710,2015,1814.532553,1116
67202,2016,1777.69515,1116
72499,2017,1749.098801,1116
82030,2018,1883.466805,1116
1022,2003,1531.420395,1117
5590,2004,1579.59619,1117
10246,2005,1518.52242,1117
14971,2006,1428.983537,1117
19490,2007,1379.364244,1117
24743,2008,1390.449781,1117
30208,2009,1419.023085,1117
35419,2010,1274.761007,1117
40650,2011,1353.843653,1117
45896,2012,1483.615188,1117
51341,2013,1465.214333,1117
56278,2014,1515.720929,1117
62098,2015,1479.702604,1117
68583,2016,1275.322799,1117
72227,2017,1447.242316,1117
81909,2018,1250.21371,1117
1434,2003,1339.569861,1119
6469,2004,956.8379051,1119
9976,2005,925.822715,1119
14692,2006,987.9760413,1119
19565,2007,1219.434887,1119
24598,2008,1267.57702,1119
29708,2009,1146.595693,1119
34957,2010,1450.211073,1119
40626,2011,1218.715141,1119
45845,2012,1172.712659,1119
51158,2013,1364.521701,1119
56335,2014,1319.263196,1119
61505,2015,1530.683669,1119
67110,2016,1422.815548,1119
73587,2017,1339.230413,1119
81571,2018,1180.720541,1119
1006,2003,1524.819144,1120
6379,2004,1663.861865,1120
10522,2005,1673.977787,1120
14960,2006,1630.36268,1120
19692,2007,1565.737728,1120
25040,2008,1655.888046,1120
29864,2009,1542.511347,1120
34985,2010,1736.821406,1120
40820,2011,1403.434276,1120
46204,2012,1586.201322,1120
51264,2013,1471.912689,1120
56523,2014,1428.776884,1120
61913,2015,1533.435244,1120
67537,2016,1625.587144,1120
72343,2017,1578.153229,1120
81970,2018,1863.348538,1120
1282,2003,1477.00775,1122
5859,2004,1554.664356,1122
10423,2005,1523.98844,1122
14787,2006,1472.334752,1122
20003,2007,1461.070843,1122
24833,2008,1543.115688,1122
30123,2009,1606.541748,1122
35070,2010,1471.703863,1122
40335,2011,1436.184667,1122
46300,2012,1427.262092,1122
51135,2013,1284.259717,1122
56341,2014,1175.81435,1122
63017,2015,1204.2415,1122
67949,2016,1293.642644,1122
72656,2017,1417.741812,1122
81681,2018,1448.791518,1122
981,2003,1521.484666,1123
5913,2004,1395.190718,1123
11300,2005,1571.446688,1123
15531,2006,1526.789882,1123
19771,2007,1376.84672,1123
24812,2008,1273.687711,1123
29887,2009,1424.514424,1123
35446,2010,1395.72037,1123
41232,2011,1495.441518,1123
46224,2012,1534.143342,1123
51265,2013,1397.890881,1123
56730,2014,1392.384106,1123
62011,2015,1190.797088,1123
66968,2016,1344.90146,1123
72388,2017,1445.044133,1123
81929,2018,1498.903766,1123
1157,2003,1539.8572,1124
5574,2004,1379.638072,1124
11746,2005,1399.164328,1124
17127,2006,1307.678164,1124
20071,2007,1519.227772,1124
24729,2008,1758.31503,1124
30094,2009,1833.758392,1124
35071,2010,1866.162708,1124
40882,2011,1984.584933,1124
46090,2012,1936.794547,1124
50993,2013,1935.709566,1124
56754,2014,1941.630797,1124
63113,2015,1987.779172,1124
67111,2016,2019.630742,1124
72229,2017,2085.014564,1124
81968,2018,1864.151533,1124
1027,2003,1484.457463,1125
5602,2004,1597.798127,1125
11052,2005,1530.254105,1125
14975,2006,1484.4798,1125
19981,2007,1651.157503,1125
24710,2008,1634.611138,1125
30241,2009,1688.620905,1125
35072,2010,1604.623861,1125
40827,2011,1667.898308,1125
46064,2012,1822.804347,1125
51291,2013,1846.531993,1125
56276,2014,1813.10186,1125
61761,2015,1711.056002,1125
66803,2016,1656.589083,1125
72345,2017,1581.800766,1125
81765,2018,1624.835222,1125
1717,2003,1370.133229,1126
6627,2004,1165.3752,1126
10234,2005,1149.351697,1126
14547,2006,1219.354467,1126
20322,2007,1144.27497,1126
25309,2008,1131.446095,1126
30198,2009,1165.447021,1126
35136,2010,1287.25103,1126
40807,2011,1197.841656,1126
46158,2012,1205.113142,1126
50854,2013,1267.876225,1126
56202,2014,1162.508682,1126
61608,2015,1023.793443,1126
67373,2016,1053.816476,1126
72358,2017,1115.295016,1126
81894,2018,1270.706656,1126
1741,2003,1531.015571,1127
5359,2004,1410.490133,1127
10847,2005,1374.843574,1127
14822,2006,1322.323659,1127
19765,2007,1326.745586,1127
24675,2008,1281.719352,1127
30368,2009,1406.929923,1127
35276,2010,1392.305804,1127
40652,2011,1224.884412,1127
46111,2012,1050.310716,1127
50957,2013,928.2320556,1127
56242,2014,857.8418848,1127
61669,2015,961.5805201,1127
67102,2016,1161.661087,1127
72346,2017,1276.972159,1127
81559,2018,1156.257021,1127
1095,2003,1480.402208,1128
5761,2004,1525.976022,1128
11610,2005,1344.753961,1128
18191,2006,1370.875717,1128
1101,2003,1490.920071,1129
5660,2004,1595.479438,1129
10424,2005,1556.463235,1129
14921,2006,1491.760392,1129
19769,2007,1461.748611,1129
24902,2008,1601.189319,1129
30042,2009,1666.457538,1129
35163,2010,1535.478805,1129
40747,2011,1594.660456,1129
45823,2012,1772.453922,1129
51054,2013,1635.548353,1129
56650,2014,1778.898494,1129
61609,2015,1807.534766,1129
67148,2016,1865.428349,1129
72485,2017,1655.147937,1129
81962,2018,1769.455966,1129
2129,2003,1559.745399,1130
5535,2004,1728.982898,1130
10927,2005,1931.277527,1130
15078,2006,1868.48167,1130
19945,2007,1834.422819,1130
24968,2008,1842.392271,1130
29871,2009,1707.478364,1130
35012,2010,1816.321064,1130
40390,2011,1805.639743,1130
45636,2012,1398.404591,1130
51093,2013,1430.380718,1130
56361,2014,1633.743801,1130
61590,2015,1675.429259,1130
67172,2016,1447.543609,1130
72347,2017,1399.910625,1130
81919,2018,1743.35938,1130
849,2003,1514.596737,1131
5783,2004,1611.91115,1131
10615,2005,1727.761937,1131
14788,2006,1474.228462,1131
19571,2007,1465.061815,1131
24644,2008,1288.39816,1131
29913,2009,1476.845347,1131
35016,2010,1394.036606,1131
40392,2011,1588.171428,1131
45636,2012,1631.886568,1131
51065,2013,1416.846053,1131
56436,2014,1549.440587,1131
61745,2015,1332.958438,1131
67120,2016,1397.248406,1131
72409,2017,1410.551875,1131
81821,2018,1352.278316,1131
2187,2003,1537.180132,1132
5916,2004,1323.71121,1132
11174,2005,1574.979387,1132
15013,2006,1326.093384,1132
20015,2007,1321.603653,1132
24665,2008,1400.138404,1132
30339,2009,1367.030126,1132
35379,2010,1525.274415,1132
42112,2011,1490.891905,1132
45985,2012,1407.071658,1132
51406,2013,1518.456358,1132
56515,2014,1396.066256,1132
61759,2015,1506.185173,1132
67217,2016,1465.79453,1132
72462,2017,1339.601834,1132
81847,2018,1366.484729,1132
1259,2003,1394.008131,1133
5408,2004,1597.094486,1133
10289,2005,1570.268879,1133
15001,2006,1590.629634,1133
19725,2007,1792.210117,1133
24602,2008,1813.597245,1133
29989,2009,1636.200217,1133
35013,2010,1707.374655,1133
40580,2011,1538.682313,1133
45787,2012,1519.884641,1133
51366,2013,1459.683214,1133
56349,2014,1405.160587,1133
61461,2015,1377.3982,1133
66808,2016,1168.261929,1133
72412,2017,1197.166234,1133
81755,2018,1527.493383,1133
786,2003,1356.138254,1135
6328,2004,1472.578517,1135
9837,2005,1453.493728,1135
14755,2006,1259.480452,1135
19573,2007,1266.460641,1135
24603,2008,1418.999785,1135
29796,2009,1507.719217,1135
34895,2010,1268.400964,1135
40391,2011,1268.018829,1135
45670,2012,1272.113309,1135
50882,2013,1143.991358,1135
56051,2014,1505.526529,1135
61503,2015,1269.786188,1135
66764,2016,1280.293766,1135
73259,2017,1316.388406,1135
81773,2018,1192.824438,1135
30039,2009,1295.264726,1136
35093,2010,1052.817869,1136
40344,2011,884.7753747,1136
45706,2012,1069.0765,1136
51095,2013,1135.173654,1136
56461,2014,1494.896399,1136
62185,2015,1413.713971,1136
68241,2016,1248.782954,1136
72232,2017,1240.526773,1136
81410,2018,963.6836133,1136
1251,2003,1451.42213,1137
6645,2004,1333.983892,1137
10591,2005,1633.270999,1137
15002,2006,1762.79829,1137
19678,2007,1722.536609,1137
24732,2008,1510.588442,1137
29975,2009,1257.283835,1137
34834,2010,1363.285304,1137
41669,2011,1608.788296,1137
45676,2012,1583.61621,1137
50968,2013,1795.282309,1137
56213,2014,1686.76977,1137
61299,2015,1455.010283,1137
67125,2016,1431.553341,1137
72233,2017,1565.298399,1137
81884,2018,1730.488721,1137
866,2003,1469.304976,1138
5454,2004,1491.431647,1138
11175,2005,1676.155799,1138
14703,2006,1808.273825,1138
19574,2007,1571.614544,1138
24792,2008,1419.296731,1138
29872,2009,1507.675625,1138
35319,2010,1640.532438,1138
40574,2011,1565.408576,1138
47453,2012,1697.559297,1138
51013,2013,1578.911563,1138
56876,2014,1506.221669,1138
61708,2015,1700.76177,1138
67205,2016,1661.673511,1138
72581,2017,1619.381888,1138
82013,2018,1821.942374,1138
1287,2003,1740.756763,1139
6682,2004,1515.506976,1139
10476,2005,1581.68163,1139
14554,2006,1585.966965,1139
19575,2007,1926.661584,1139
24835,2008,1964.511623,1139
30041,2009,2042.708149,1139
35138,2010,1913.035531,1139
40654,2011,1915.682601,1139
45898,2012,1703.164315,1139
51267,2013,1837.682827,1139
56258,2014,1877.023005,1139
61507,2015,1845.757693,1139
67092,2016,1905.264694,1139
72165,2017,1992.591772,1139
82007,2018,1896.472024,1139
1104,2003,1683.09109,1140
5871,2004,1783.494217,1140
10191,2005,1614.786289,1140
14743,2006,1520.806931,1140
19986,2007,1608.299942,1140
24777,2008,1982.655188,1140
29764,2009,1927.340093,1140
35290,2010,1929.174159,1140
40575,2011,2044.148019,1140
45825,2012,1969.467995,1140
50863,2013,1806.513328,1140
56301,2014,1802.656807,1140
61613,2015,1862.205938,1140
67422,2016,1867.824479,1140
72449,2017,1693.906985,1140
81865,2018,1761.072935,1140
1245,2003,1581.421598,1141
6626,2004,1401.107429,1141
10659,2005,1378.113149,1141
14746,2006,1307.382109,1141
19940,2007,1298.1807,1141
24874,2008,1449.923534,1141
29880,2009,1413.504739,1141
35164,2010,1405.595725,1141
40690,2011,1411.078483,1141
46030,2012,1363.118444,1141
51344,2013,1301.211221,1141
56171,2014,1254.004279,1141
61614,2015,1302.222263,1141
68590,2016,1539.124273,1141
72350,2017,1625.707605,1141
81917,2018,1523.739398,1141
1289,2003,1436.393763,1142
5784,2004,1606.234229,1142
11159,2005,1259.273717,1142
15146,2006,1114.061134,1142
20152,2007,1399.269812,1142
24976,2008,1506.612128,1142
30197,2009,1297.181933,1142
35140,2010,1292.826811,1142
40783,2011,1387.563354,1142
45716,2012,1538.289249,1142
51507,2013,1430.432507,1142
56420,2014,1609.218364,1142
62001,2015,1606.635192,1142
67419,2016,1498.389509,1142
72351,2017,1379.268056,1142
81947,2018,1182.077639,1142
1308,2003,1573.362799,1143
6382,2004,1555.005872,1143
10105,2005,1576.418685,1143
14705,2006,1601.653375,1143
19690,2007,1833.075823,1143
24973,2008,1780.593647,1143
29990,2009,1770.86404,1143
35141,2010,1808.963306,1143
40612,2011,1816.006266,1143
45826,2012,1826.776798,1143
51204,2013,1810.441793,1143
56408,2014,1746.06416,1143
61709,2015,1819.752944,1143
67150,2016,1739.639689,1143
72585,2017,1933.076059,1143
81904,2018,1346.961552,1143
1304,2003,1418.552629,1144
6487,2004,1015.439181,1144
10270,2005,1082.340151,1144
15012,2006,1092.403439,1144
20122,2007,1371.617278,1144
25033,2008,1205.889883,1144
30111,2009,1199.882807,1144
35588,2010,1435.442027,1144
40828,2011,1518.307722,1144
45638,2012,1417.381141,1144
51447,2013,1108.808375,1144
56587,2014,1178.850126,1144
62002,2015,1112.784306,1144
67318,2016,1208.295425,1144
73842,2017,1313.429458,1144
81643,2018,1312.716794,1144
1057,2003,1509.39971,1145
5557,2004,1461.846422,1145
10997,2005,1259.489823,1145
15009,2006,1249.738606,1145
19947,2007,1368.718321,1145
24932,2008,1108.612894,1145
29855,2009,1273.997808,1145
35258,2010,1359.063675,1145
40538,2011,1407.424146,1145
45971,2012,1304.666689,1145
51324,2013,1453.173131,1145
56565,2014,1597.534225,1145
61615,2015,1553.551618,1145
67232,2016,1428.398302,1145
72474,2017,1377.3186,1145
81705,2018,1645.599135,1145
20044,2007,1386.193151,1146
24982,2008,1340.64127,1146
30135,2009,1216.26289,1146
35142,2010,1243.794884,1146
40635,2011,1107.580963,1146
46223,2012,1122.013112,1146
51359,2013,1120.56169,1146
56735,2014,1174.588664,1146
61695,2015,1053.789752,1146
68453,2016,1073.849839,1146
72349,2017,1085.797266,1146
81949,2018,1445.989058,1146
1670,2003,1419.406145,1147
5819,2004,1445.111046,1147
10107,2005,1328.895614,1147
15004,2006,1117.362649,1147
19577,2007,1214.47064,1147
24836,2008,1367.098346,1147
30565,2009,1129.246387,1147
35183,2010,1235.343366,1147
43996,2011,937.0502922,1147
1494,2003,1378.611501,1148
7081,2004,1342.269717,1148
10482,2005,1424.194405,1148
14804,2006,1411.174158,1148
19773,2007,1348.725078,1148
24611,2008,1374.943476,1148
29875,2009,1487.41627,1148
35334,2010,1219.098531,1148
40544,2011,1297.255388,1148
45848,2012,1443.079393,1148
51120,2013,1471.36294,1148
56471,2014,1280.267476,1148
61543,2015,1122.277484,1148
67130,2016,940.6024441,1148
72532,2017,1087.316327,1148
81617,2018,1155.214687,1148
1290,2003,1455.58165,1149
5657,2004,1313.384954,1149
11056,2005,1286.080839,1149
15156,2006,1305.423416,1149
19711,2007,1326.663584,1149
25047,2008,1124.606638,1149
29695,2009,1216.394095,1149
35232,2010,1158.374045,1149
40398,2011,1209.736803,1149
46096,2012,1455.88668,1149
51394,2013,1479.465152,1149
56792,2014,1385.280723,1149
61827,2015,1349.091929,1149
66976,2016,1367.147579,1149
72775,2017,1069.612577,1149
81673,2018,1339.930303,1149
1252,2003,1569.003518,1150
6448,2004,1710.821246,1150
10108,2005,1796.817562,1150
14453,2006,1644.209534,1150
19704,2007,1537.975067,1150
24875,2008,1643.167132,1150
29659,2009,1585.20261,1150
35143,2010,1830.277043,1150
40284,2011,1469.154945,1150
45903,2012,1556.669034,1150
51564,2013,1682.450603,1150
56240,2014,1744.668497,1150
61512,2015,1614.566133,1150
67151,2016,1280.775605,1150
72543,2017,1462.043445,1150
81725,2018,1161.781934,1150
1380,2003,1583.554239,1151
5785,2004,1484.077626,1151
10874,2005,1646.399717,1151
15114,2006,1423.421858,1151
20021,2007,1499.678563,1151
24769,2008,1420.828169,1151
30341,2009,1412.069853,1151
35156,2010,1297.422245,1151
40338,2011,1314.334965,1151
45938,2012,1203.662146,1151
51217,2013,1137.468353,1151
56284,2014,1125.581194,1151
61470,2015,1288.293873,1151
67341,2016,1641.187456,1151
72505,2017,1679.968501,1151
81735,2018,1190.427051,1151
1217,2003,1385.369466,1152
6280,2004,1028.732737,1152
10381,2005,1301.345111,1152
14951,2006,1304.412766,1152
19831,2007,1449.727888,1152
24465,2008,1301.235971,1152
30053,2009,1276.437815,1152
35658,2010,1232.560352,1152
40472,2011,1053.48361,1152
45530,2012,891.7317089,1152
51021,2013,889.2182596,1152
56347,2014,1190.334603,1152
61575,2015,1180.185238,1152
67308,2016,1105.056496,1152
72739,2017,987.3024582,1152
81939,2018,980.846668,1152
1894,2003,1713.709815,1153
5840,2004,1856.421286,1153
10388,2005,1979.848724,1153
14963,2006,1822.423212,1153
19657,2007,1768.525098,1153
24694,2008,1477.833223,1153
30173,2009,1691.582023,1153
35493,2010,1724.773967,1153
40790,2011,1871.698335,1153
46046,2012,1866.160612,1153
51102,2013,2049.286274,1153
56464,2014,1915.432013,1153
61463,2015,1912.599634,1153
67063,2016,1910.699637,1153
72462,2017,1881.073697,1153
82036,2018,2103.432764,1153
2365,2003,1349.256076,1154
6899,2004,1082.546631,1154
11782,2005,1259.613099,1154
15101,2006,1122.938857,1154
19565,2007,1094.574299,1154
25027,2008,1062.04831,1154
31417,2009,1176.184858,1154
36759,2010,1469.096428,1154
40844,2011,1301.610443,1154
45790,2012,1227.85421,1154
51473,2013,1050.720781,1154
56430,2014,1084.523915,1154
61813,2015,1065.849055,1154
68572,2016,1102.925653,1154
72357,2017,1172.982907,1154
81804,2018,1195.822685,1154
1292,2003,1646.994261,1155
5551,2004,1511.03883,1155
10662,2005,1569.896232,1155
14707,2006,1763.643297,1155
19468,2007,1845.237741,1155
24782,2008,1839.372131,1155
29499,2009,1986.755299,1155
34924,2010,1891.90188,1155
40523,2011,1830.764702,1155
45894,2012,1790.831401,1155
51089,2013,1717.550645,1155
56303,2014,1734.74523,1155
61452,2015,1676.659973,1155
67064,2016,1699.751466,1155
72463,2017,1822.494223,1155
82008,2018,1917.218953,1155
771,2003,1489.487875,1156
5783,2004,1330.652076,1156
10744,2005,1189.476833,1156
14990,2006,1257.653283,1156
19575,2007,1481.928497,1156
24877,2008,1452.151445,1156
29977,2009,1663.801576,1156
35110,2010,1593.69944,1156
40340,2011,1736.640611,1156
45642,2012,1837.149638,1156
51144,2013,1637.048567,1156
56174,2014,1523.053339,1156
61711,2015,1616.035801,1156
67254,2016,1487.9442,1156
72358,2017,1259.619717,1156
81881,2018,1377.210536,1156
1071,2003,1479.036439,1157
6387,2004,1388.136532,1157
10347,2005,1290.530355,1157
15062,2006,1311.966247,1157
20251,2007,1320.954561,1157
25046,2008,1188.049639,1157
29795,2009,1172.945059,1157
35145,2010,1531.610792,1157
40863,2011,1593.016908,1157
46217,2012,1574.519213,1157
51437,2013,1395.732733,1157
56334,2014,1299.85264,1157
62050,2015,1465.711562,1157
68314,2016,1310.316758,1157
73654,2017,1428.927524,1157
81906,2018,1335.667375,1157
1243,2003,1543.663704,1158
6452,2004,1763.024475,1158
10932,2005,1590.191853,1158
15204,2006,1507.36755,1158
19562,2007,1496.310115,1158
25048,2008,1562.558407,1158
29878,2009,1606.43202,1158
35523,2010,1571.325505,1158
40399,2011,1615.39784,1158
45644,2012,1729.413698,1158
51395,2013,1579.646214,1158
56241,2014,1481.643844,1158
61915,2015,1352.484666,1158
67093,2016,1437.528156,1158
72306,2017,1443.03218,1158
81863,2018,1770.192703,1158
850,2003,1406.587684,1159
6632,2004,1407.111367,1159
10091,2005,1286.010258,1159
14560,2006,1339.03425,1159
19920,2007,1202.670973,1159
24783,2008,1437.967481,1159
30010,2009,1265.813382,1159
35265,2010,1154.495623,1159
40727,2011,1110.552668,1159
45821,2012,1198.056447,1159
51045,2013,1188.028411,1159
56431,2014,1336.386534,1159
61545,2015,1322.861137,1159
67136,2016,1320.893766,1159
72353,2017,1269.07756,1159
81884,2018,1457.589673,1159
1253,2003,1603.238427,1160
5646,2004,1732.33305,1160
10539,2005,1687.169838,1160
15006,2006,1848.040115,1160
19579,2007,1548.847147,1160
24966,2008,1512.454451,1160
30045,2009,1465.155841,1160
35122,2010,1412.838738,1160
40844,2011,1627.60899,1160
45892,2012,1710.494554,1160
51121,2013,1864.542015,1160
56175,2014,1821.354762,1160
61785,2015,1723.349835,1160
67425,2016,1835.767045,1160
72239,2017,1744.238735,1160
81915,2018,1698.601261,1160
869,2003,1593.06622,1161
5463,2004,1508.78415,1161
10892,2005,1563.593803,1161
14758,2006,1604.128536,1161
19851,2007,1537.96255,1161
24655,2008,1491.378367,1161
29870,2009,1366.430357,1161
35147,2010,1438.080176,1161
40979,2011,1596.49755,1161
45696,2012,1650.00739,1161
51369,2013,1844.58344,1161
56304,2014,1823.439895,1161
61511,2015,1728.550169,1161
67303,2016,1606.902988,1161
72457,2017,1657.159495,1161
81912,2018,1350.618357,1161
783,2003,1341.807706,1162
6168,2004,1185.20709,1162
10714,2005,1488.934642,1162
14530,2006,1325.674698,1162
19443,2007,1234.632297,1162
24589,2008,1376.413568,1162
29628,2009,1232.376056,1162
35080,2010,1348.652183,1162
40274,2011,1252.375346,1162
45645,2012,1454.746117,1162
51190,2013,1526.875434,1162
55993,2014,1404.440439,1162
61618,2015,1538.349303,1162
66956,2016,1476.344069,1162
73981,2017,1504.751232,1162
81747,2018,1319.912283,1162
1294,2003,1666.298175,1163
5459,2004,1833.694814,1163
11065,2005,1909.671323,1163
14789,2006,2061.902661,1163
19775,2007,2155.635305,1163
24626,2008,1736.624305,1163
29696,2009,2018.680923,1163
35328,2010,2058.794022,1163
40980,2011,1966.225118,1163
45646,2012,1988.378105,1163
50991,2013,1872.039953,1163
56282,2014,1922.403164,1163
62043,2015,1877.629948,1163
67212,2016,1858.740018,1163
72685,2017,1732.683692,1163
81950,2018,1599.853994,1163
1733,2003,1347.873216,1164
6047,2004,1345.999723,1164
10079,2005,1407.411993,1164
15536,2006,1359.315123,1164
19603,2007,1317.975252,1164
24990,2008,1133.070055,1164
30424,2009,1293.868014,1164
35458,2010,1357.955439,1164
41181,2011,1064.024543,1164
46207,2012,1273.475512,1164
51003,2013,1144.368448,1164
56566,2014,1253.599468,1164
61790,2015,1122.106332,1164
68299,2016,1036.885413,1164
71983,2017,1115.836786,1164
81869,2018,944.2141048,1164
1457,2003,1334.707994,1165
5694,2004,1315.24269,1165
9983,2005,1292.361187,1165
14420,2006,1367.194583,1165
19543,2007,1389.844129,1165
26359,2008,1480.580768,1165
29666,2009,1678.824167,1165
34926,2010,1696.477379,1165
40257,2011,1667.269423,1165
45647,2012,1430.492502,1165
50765,2013,1356.510397,1165
